Company Name,Ticker,Sector
LIVE CURRENT,LIVC,Retail-Wholesale
LUK FOOK HLDGS,LKFLF,Retail-Wholesale
LUMBER LIQUIDAT,LL,Retail-Wholesale
LI NING COMPANY,LNNGY,Retail-Wholesale
EL POLLO LOCO,LOCO,Retail-Wholesale
LOWES COS,LOW,Retail-Wholesale
LONGWEI PETROLM,LPIH,Retail-Wholesale
LUBY'S INC,LUB,Retail-Wholesale
LIBERTY VENTR-A,LVNTA,Retail-Wholesale
LIBERTY VENTR-B,LVNTB,Retail-Wholesale
MACYS INC,M,Retail-Wholesale
MARKS&SPENCER,MAKSY,Retail-Wholesale
MARUI LTD,MAURY,Retail-Wholesale
MEDIABAY INC,MBAY,Retail-Wholesale
MITCHELLS&BTLR,MBPFF,Retail-Wholesale
MCDONALDS CORP,MCD,Retail-Wholesale
MAIDEN LANE JWL,MDNL,Retail-Wholesale
MDWERKS INC,MDWK,Retail-Wholesale
MERCADOLIBRE IN,MELI,Retail-Wholesale
MONTAGUE INTL,MIHL,Retail-Wholesale
MICHAELS COS,MIK,Retail-Wholesale
MONOTARO,MONOY,Retail-Wholesale
MOVADO GRP INC,MOV,Retail-Wholesale
WM MORRISON SUP,MRWSY,Retail-Wholesale
METRO AG,MTTRY,Retail-Wholesale
MY VINTAGE BABY,MVBY,Retail-Wholesale
MARKETING WORLD,MWWC,Retail-Wholesale
NATHANS FAMOUS,NATH,Retail-Wholesale
NATURAL GOLF CP,NAXG,Retail-Wholesale
NOODLES & CO,NDLS,Retail-Wholesale
NET ELEMENT INT,NETE,Retail-Wholesale
NATURAL GROCERS,NGVC,Retail-Wholesale
BLUE NILE INC,NILE,Retail-Wholesale
NAUTILUS INC,NLS,Retail-Wholesale
NOBLE ROMANS,NROM,Retail-Wholesale
INSIGHT ENTRPRS,NSIT,Retail-Wholesale
NEW YORK & CO,NWY,Retail-Wholesale
NEXT GROUP PLC,NXGPY,Retail-Wholesale
NEXTMART INC,NXMR,Retail-Wholesale
NEXPRISE INC,NXPS,Retail-Wholesale
ODIMO INC,ODMO,Retail-Wholesale
OFFICE DEPOT,ODP,Retail-Wholesale
OMINTO INC,OMNT,Retail-Wholesale
ONLINE VACATION,ONVC,Retail-Wholesale
ONVIA.COM INC,ONVI,Retail-Wholesale
OURPETS COMPANY,OPCO,Retail-Wholesale
O REILLY AUTO,ORLY,Retail-Wholesale
OVERSTOCK.COM,OSTK,Retail-Wholesale
PENSKE AUTO GRP,PAG,Retail-Wholesale
